Brand,Model,Waist,Inseam,Rise,Thigh,Knee,Hem
Dickies,874,35.63,12.992,27.559,25.197,20.866,18.11
Our Legacy,Third Cut,17.52,30.315,11.22,14.016,,10.039
Brain Dead,Type 00 15.6OZ Selvadge Denim,,,,,,
